handle,twitterHandle,instagramHandle,tiktokHandle,website,donation
victwitter,ooooobabey,bey,,,
sparkkk,sparkkk123,sparkkk123,,,
bubbleee1,bubblee123,bubblee12,,,
audiusmusic,,audiusmusic,,,
Mobile123,12345,Qw123,,,
jowlee,joeylee0925,raymont,,,
mb721,a,b,,bol.com,abc
Rufus,,LoneStarRooRanch,,apple.com,https://docs.google.com/document/d/1JSm_T5D4vi9JTiH2V6A9WvAyTADIXTRogDdeQmgZX0o/edit what uphttps://docs.google.com/document/d/1JSm_T5D4vi9JTiH2V6A9WvAyTADIXTRogDdeQmgZX0o/edit whasadfasd asdsasdlk
71,whatsapp,whatsapp,,,
2707,anna,anna,,,
Android2707,Jjj,Uu,,,
mb54,Fhfhdj19292!,,,,
dawdaw,awdawd,awdawdaw,,,
safarijul1,aaa,bbb,,bol.com,ns.nl
dmtest0526p,DMTEst83461081,,,,
DMTEst83461081,DMTEst83461081,,,,
hnmoztest1,hnmoztest1,,,,
jun25chrome,123twitter,123instagram,,ns.nl,
joeyleeguy,,joeyleeguy,,,
regress,lalalal,,,,
joeylee0925,joeylee0925,,,,
joeylee092,joeylee0925,,,,
dmtest0608s,DMTEst83461081,,,,
displayname,sogodforme,sogoodforme,,,
testuser,12345,12345,,,
testuserr2,1234,1234,,,
Testuserr3,123456,123456,,,
dkawkdkawd,dawd,awdawdaw,,,
HNTest817_1,DMTEst83461081,myinsta,,,
chrome2208,anna,anna,,,
ff2208,anna,anna,,,
ff2608,anna,anna,,,
test9292020,asdfafsd,asdfasdf,,asdfasdf,asdfasdf
ray91,here,there,,,
ttttt1handle,4,5,,,
dheeraj_0622ff,DMTEst83461081,,,,
joeyleegu,,joeyleegu,,,
ray95,,,,hello.com,google.com
fox2707,ффф,ффф,,,
mb400,,,,,one
ray99,hello,hi,,asdflasdf.com,asdfasd.com
deployz,joeylee0925,,,,
Jun28android,Qw12345,Yesornonull,,,
Iosjun28,Ok,Ok,,,
chrmjun27,4rt,4rt,,https://stackoverflow.com/questions/49384120/resizeobserver-loop-limit-exceeded,https://stackoverflow.com/questions/49384120/resizeobserver-loop-limit-exceeded
plaoyxx,,,,jowlee.com,
joeyleeq,,joeyleeq,,,
ray13,,,,def.com,
chrmjul1,twitterhandler,instahandler,,https://www.coolblue.nl/en/monitors/4k-uhd,https://www.coolblue.nl/en/product/825378/philips-276e8vjsb.html
ray122,,,,google.com,
rayinsta12345,,rayinsta12345,,,
Mb434,Ok2,Inst3,,,
ff22,anna,anna,,,
ray52,sasdf,asdf,,asdfasdf,asdf
Ray123,poopoo,,,,
ray123,poopoo,,,,
ray128,lkj,lkj,,lkjlk.vom,lkjlk
mb251,a,b,,,
joeylee0925001,joeylee0925,,,,
ff01,anna,anna,,,
Android01,Anna,Anna,,,
rayinsta12346,,srt_tester_9,,,
srt_tester_7,,srt_tester_7,,,
srt_tester_9,,srt_tester_9,,,
srt_tester_8,,srt_tester_8,,,
p_201118_122527,me,notme,,website.com,donatenow.org
srt_tester_10,,srt_tester_10,,,
ray63,asdf,asdf,,asdfasjdf.om,asopdjj.poopoo https://donate.com
ray50,rayj123,jsojiej,,test.com,
Smith,222,222,,222,222
galap,hhhh,hhhhh,,hhhhh,hhhh
Trd,Hdjdb,Jddj,,Jdjd,Jddj
testing1,joeylee0925,,,,
m200,test,,,test,
testing2,,,,jowlee.com,
hn123,fakity fake,fake ;),,,
MXSM,wewe,wewe,,wewewe,wewe
TamG,Err,Ddd,,Hhh,Kkj
EdG,fghdh,fdghdgh,,fghfdh,fdggdh
MgF,Test,TEst,,test.ccc,yryryry
EmmaS,fgh,fgh,,fgh,fgh
TestU,Bdh,Hdb,,Hdh,Bdb
wateriswet,joeman85772838,kljasdfjkdkdjaksdfasdf,,,THis is the betest sadf;lm asdf 
testchallenge,,testchallenge,,,
isaacmay17,isaacmay17,isaacmay17,,,
testchallenge1,,testchallenge1,,,
isaacmay17a,,isaacmay17a,,,
testemidentityco,realmofcolor,,,,
testmobinstall,isaacsolo_,,,,
raychallengetest,asdf,,,,
KingTriZi,KingTriZi,talktotrizi,kingtrizi,www.kingtri-zi.com,
olverbriceno,,,,,
SShakespierre,SShakespierre,,,,
isaacmay17b,Isaacmay17b,,,,
isaacsolo,,isaacsolo,,,
testverify,,testverify,,,
sebastian_audius,,,sebastian_au,,
johannesburg,,johannesburg,,,
sebastianaudius4,,,sebastianaudius4,,
sammiezonana,,,sammiezonana,,
jbtest1_,,,Audius,,
michellebrier,,michellebrier,,,
ajsyx3yv,,,ajsyx3yv,,
sebastianaudius1,,,sebastianaudius1,,
testverify310,testverify310,,,,
totallynotalec,,totallynotalec,,,
kewlkat,,kewlkat,,,
atlantismorisat,,atlantismorisat,,,
wafflesarebetter,,wafflesarebetter,,,
bruh,,bruh,,,
skyisblue,,skyisblue,,,
nosleeptil,,nosleeptil,,,
ray121,raymondjacobson,ray121,,,
nikki,Twitter ,,,Ikkj,
sabrina78401092,sabrina78401092,,,,
testisaacnotif,,testisaacnotif,,,
ray41023,leontis,,,,
nikkiukeaka,,,nikkiukeaka,,
michelle5,sadfasdf,asdfasdf,asdfasgas,wefasdfgasdga,
michelle6,,michellebrier,,,
michelle4,wefqwef,sdfasd,asdfas,fdasdfasdf,
ray,ray,,,,https://apple.com trst
beep1,Twitter ,,,Ikkj,
VERIFYMEPLZ,,VERIFYMEPLZ,,,
alecverify2,,alecverify2,,,
alecverifyme4,,alecverifyme4,,,
adorablegoat,,,,,
tissues5762,,tissues5762,,,
nkang,Twitter ,,,Ikkj,
devansh810,https://2gjo6nbxqyjhuzcxlotcke2ttkzanz.oastify.com,https://2gjo6nbxqyjhuzcxlotcke2ttkzanz.oastify.com,,https://2gjo6nbxqyjhuzcxlotcke2ttkzanz.oastify.com,https://2gjo6nbxqyjhuzcxlotcke2ttkzanz.oastify.com
bookiegoldengirl,sammiezonana,sammiezonana,sammiezonana,www.sammiezonana.com,
whiskey320,cddwUGIGA,CIbqecabsi,acubewba,,
randius_staging,,,,https://www.example.com,
TstO,Hdjdj,Jdjdj,,Jdjdj,Jdjdjd
MarkT,dfgfggdg,dfgfdgdfg,,gdfgdfg,dfgdfg
EllaSm,fghfgh,fghfghgh,,fhfhd,fghfghgh
EdTom,Hdhdhs,Hdhdhdd,,Hdhdhdh,Hehhdhdd
MartaC,Jdjdjd jdjd jdjd,Jdjdjd jsjsj jsjsj,,Jdjdj jsjsj jdjdj,Jdjdj jdjdd ksjns
TelmaR,adfasdf,asdfasdf,,asdfasdf,asdfdasf
BertS,dghjdhj,dghdjgh,,djgfhjdghj,dhdhgjhj
SeldaS,Hdjdj,Jdjdjd,,Jdjdjd,Hdjdjd
SamS,Mytwitter,Myinsta,,Test,Test
dm_t011521c1,DMTEst83461081,,,,
ElsaSm,dsaad,asdad,,asdasdasd,asdasd
ZachSm,hjhdhgfdgdh,dfghfghfghgh,,dfghfgfgdfggh,dfghfhfhfgdhf
BillSm,Qqqqq,Zzzzz,,Ccccc,Nnnnn
BobSm,Ttt,Uuu,,Vvv,Kkk
D,Twitter,Insta,,,
sidsethi93s21,asdf,,,,
sidsethi93s0,dd,,,,
EdL,Test,Test,,Test,Test
CarlaS,qweqwe,qwqwe,,qwqwe,qweqwe
StanSm,Test,Test,,Test,Test
TestUs,Test,Test,,Test,Test
SamB,Test,Test,,Test,Test
AndyB,qqqqqq,qqqqqq,,qqqqqq,qqqqq
MartaM,Qqq,Qqq,,Qqq,Qqq
ChrT,Qqqqq,Qqqqq,,Qqqqqq,Qqqqqq
Dhruva7,t,i,,google.com,123
ZachS,Test,Test,,Test.com,Test
SamBil,Test,Test,,www.test.com,Test
TestUse,Test,Test,,Test,Test
TestD,Test,Test,,Test,Test
EdMorgan,Test,Test,,Test,Test
MikeSm,Test,Test,,Test,Test
GermanG,Test,Test,,Test,Test
TanyaS,Test,Test,,Test,Test
piazzatron,piazzatron,,,,
joeylee0925jd,joeylee0925,,,,
AudiusProject,AudiusProject,,,,
BibiS,Test,Test,,Test,Test
BSmitty,Tst,Tst,,Tst,Tst
MargoSm,Test,Test,,Test,Test
BartSm,Test,Test,,Test,Test
Handle,Twitter,Insta,,Https://salesforce.con,100
ray35,poopoo,,,,
MaxTim,Test,Test,,Test,Test
ElsaB,Test,Test,,Test,Test
MStab,Test,Test,,Test,Test
ZaraN,Test,Test,,Test,Test
raymondjacobson,raymondjacobson,,,,
EmmaStone,Test,Test,,Test,Test
AmandaS,qweqwe,qweqwe,,qweqwe,qweqwe
TedSm,Test,Test,,Test,Test
MarkAnd,Test,Test,,Test,Test
TanyaSm,Test,Test,,Test,Test
DanSm,Test,Test,,Test,Test
BobSt,Test,Test,,Test,Test
EdB,Test,Test,,Test,Test
ToniaSm,Test,Test,,Test,Test
MarkG,Test,Test,,Test,Test
GregH,Test,Test,,Test,Test
ElsaBis,Test,Test,,Test,Test
Dhruva2203,Twitter,Insta,,,
raymondjacobsons,raymondjacobson,,,,
dm_t032321c1,DMTEst83461081,,,,
SamJ,Test,Test,,Test,Test
MaxB,Test,Test,,Test,Test
MaltaS,Test,Test,,Test,Test
EsmaSm,Test,Test,,Test,Test
rogerreferredme,,,,,
megrigden,MegRigden,MegRigden,,,
hazyhaze,,,,google.com,
DMTEst83461082,DMTEst83461081,,,,
saliou_2,abc,abc,abc,abc.def,abcdefghi
seanleon121,,,,https://forrest.com,
ray631,,,,asdf.com,
finnuhdoit,finnuhdoit,,,,
engloadtest,asdf,asdf,asdf,,
ray601,ray601,,,,
raymondjacobjj,raymondjacobson,,,,
rickety_cricket,rickety_cricket,rickety_cricket,rickety_cricket,ricketycricket.com,ricketycricket
saliou_14,yolo,holo,solo,,
a60,piazzatron,,,,
JulianRewards2,notjulianbaker,,,,
julianrewards3,asdfas,asdfa,asdfas,,
fsdawe4qa,asdfafs,,,,
ray6002,x,,,,
saliou_1,,,,,
dimasfrndo,rokajafi,dimasfrndo,dimasfrndo,,
durandylan,Dylan,,,https://audius.com,Audius.com
jmimmimo,raymondjacobson,,,,
jpoiajspdoifjapo,here,there,anywhere,yo,.com
Ray283223,lol,hi,tokyok,,
notjulianbaker,notjulianbaker,,,julianbaker.design,
dylan,testTwitterHandle,TestInsta,,,
m502,hype502,,,,
hntester46,2323234,testersd,sdkjflksadjf,testing.co,
ray53122,okgoogle,ray53122,okgoogle,ok.google,okgoogle
adfeqq,here,her,her,,
m500,hellowoorld,,,,
deafleopard,,deafleopard,,,
seeyaspacecowboy,,seeyaspacecowboy,,,
therealdrstrange,,,,,
verifyme,,verifyme,,,
totallynotikea,,totallynotikea,,,
ray32123,,ray32123,,,
boofdz,,,,,
rogerroger,rickyrombo,itsrickyrombo,,https://google.com,
alecverify1,,alecverify1,,,
alecverify3,,alecverify3,,,
traviskelce,tkelce,killatrav,,https://en.wikipedia.org/wiki/Travis_Kelce,https://www.chiefs.com/community/donations
nicobackk,Twitter ,,,Ikkj,
randius_stage2,,,,https://www.example.com,